"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"06/10/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","5","37.6","06/10/2017","06/10/2016"
"06/11/2021","27","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","5","47.2","06/11/2017","06/11/2014"
"06/12/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","80","3","42.2","06/12/2017","06/12/2014"
"06/13/2021","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","46","7","32.8","06/13/2017","06/13/2014"
"06/14/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","68","3","34.2","06/14/2008","06/14/2014"
"06/15/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","92","6","30.4","06/15/2001","06/15/2015"
"06/16/2021","30","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","60","4","26.2","06/16/2011","06/16/2015"
"06/17/2021","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","59","12","31.4","06/17/2000","06/17/2015"
"06/18/2021","51","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","67","6","36","06/18/2010","06/18/2014"
"06/19/2021","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","94","17","32.2","06/19/2006","06/19/2009"
"06/20/2021","48","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","87","12","46.2","06/20/2016","06/20/2004"
"06/21/2021","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","79","2","29.2","06/21/2012","06/21/2015"
"06/22/2021","22","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","13","30.5","06/22/2002","06/22/2014"
"06/23/2021","23","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","57","10","33.5","06/23/2003","06/23/2011"
"06/24/2021","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AirNow","57","11","22","06/24/2013","06/24/2011"
"06/25/2021","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","53","10","27.2","06/25/2006","06/25/2017"
"06/26/2021","27","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","102","7","32","06/26/2003","06/26/2017"
"06/27/2021","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","93","10","30.2","06/27/2005","06/27/2017"
"06/28/2021","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","55","3","26","06/28/2011","06/28/2015"
"06/29/2021","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","69","11","29.4","06/29/2003","06/29/2015"
"06/30/2021","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","101","6","32.4","06/30/2001","06/30/2015"
"07/01/2021","25","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","102","0","31.4","07/01/2002","07/01/2017"
"07/02/2021","12","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","62","13","33.4","07/02/2000","07/02/2007"
"07/03/2021","9","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","60","9","35.4","07/03/2011","07/03/2014"
"07/04/2021","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","67","19","42","07/04/2006","07/04/2009"
"07/05/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","78","19","49.2","07/05/2010","07/05/2014"
"07/06/2021","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","84","26","41","07/06/2010","07/06/2009"
"07/07/2021","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","160","23","36","07/07/2002","07/07/2006"
"07/08/2021","21","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","88","14","39.2","07/08/2010","07/08/2000"
"07/09/2021","26","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","76","3","34.2","07/09/2008","07/09/2014"
