"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"05/20/2017","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","35",".","17","9"
"05/21/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","34",".","21","14"
"05/22/2017","25","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","25",".","15","11"
"05/23/2017","42","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","42",".","19","10"
"05/24/2017","37","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","37",".","28","13"
"05/25/2017","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","31","10","13","10"
"05/26/2017","22","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","22",".","2","5"
"05/27/2017","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","35",".","8","8"
"05/28/2017","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","33",".","14","12"
"05/29/2017","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","31",".","13","4"
"05/30/2017","19","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","19",".","5","9"
"05/31/2017","42","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","42","9","14","8"
"06/01/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","40",".","14","12"
"06/02/2017","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","0","31",".","7","8"
"06/03/2017","23","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","0","23",".","6","3"
"06/04/2017","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","0","28",".","13","8"
"06/05/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","0","34",".","6","20"
"06/06/2017","23","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","0","23","2","6","9"
"06/07/2017","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","32",".","9","10"
"06/08/2017","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","32",".","21","8"
"06/09/2017","46","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","46",".","20","9"
"06/10/2017","77","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","77",".","37","10"
"06/11/2017","77","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","77",".","40","19"
