"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"02/19/2015","71","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","16","71","31"
"02/20/2015","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","6","38","21"
"02/21/2015","75","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","75","29"
"02/22/2015","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","12","61","25"
"02/23/2015","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","8","45","20"
"02/24/2015","72","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","72","34"
"02/25/2015","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","62","."
"02/26/2015","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","46","27"
"02/27/2015","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","68","28"
"02/28/2015","83","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","83","32"
"03/01/2015","82","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","82","35"
"03/02/2015","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","59","25"
"03/03/2015","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","14","60","40"
"03/04/2015","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","6","45","21"
"03/05/2015","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","38","25"
"03/06/2015","70","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","70","33"
"03/07/2015","80","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","29","80","36"
"03/08/2015","79","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","79","31"
"03/09/2015","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","59","38"
"03/10/2015","72","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","19","72","50"
"03/11/2015","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","46","22"
"03/12/2015","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","24","24"
"03/13/2015","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","27","55","27"
"03/14/2015","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","60","27"
"03/15/2015","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","20","15"
"03/16/2015","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","15","46","26"
